Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20223195,Qld,10,2022,Saturday,23:00:00,Single,No,No,No,50,Passenger,Female,16,Inner Regional Australia,Logan - Beaudesert,Logan,Undetermined,No,No,0_to_16,Weekend,Night,1,No,Night
20228014,ACT,10,2022,Sunday,03:55:00,Single,No,No,No,80,Passenger,Female,15,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway,No,No,0_to_16,Weekend,Night,2,No,Night
20228014,ACT,10,2022,Sunday,03:55:00,Single,No,No,No,80,Passenger,Female,14,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway,No,No,0_to_16,Weekend,Night,2,No,Night
20221113,NSW,10,2022,Friday,21:03:00,Single,No,No,No,80,Driver,Male,18,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20221056,NSW,10,2022,Tuesday,01:30:00,Single,No,No,No,80,Passenger,Male,12,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,No,No,0_to_16,Weekday,Night,1,No,Night
20221226,NSW,10,2022,Sunday,15:00:00,Multiple,No,No,No,100,Driver,Male,17,Inner Regional Australia,Capital Region,Queanbeyan-Palerang Regional,Arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20222069,Vic,10,2022,Monday,02:20:00,Single,No,No,No,60,Pedestrian,Male,15,Major Cities of Australia,Melbourne - West,Brimbank,Collector Road,No,No,0_to_16,Weekend,Night,1,No,Night
20223265,Qld,9,2022,Saturday,21:00:00,Single,No,No,No,70,Driver,Male,18,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20221012,NSW,9,2022,Sunday,03:30:00,Single,No,No,No,70,Passenger,Male,17,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20222155,Vic,9,2022,Sunday,20:09:00,Multiple,No,No,No,100,Driver,Female,18,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,National or State Highway,No,No,17_to_25,Weekend,Night,1,No,Night
