Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20221239,NSW,1,2022,Sunday,20:20:00,Multiple,No,No,No,100,Driver,Male,15,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No,0_to_16,Weekend,Night,1,No,Night
20221009,NSW,1,2022,Friday,12:05:00,Multiple,No,No,No,100,Driver,Female,17,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20211001,NSW,12,2021,Sunday,05:00:00,Single,No,No,No,80,Driver,Male,17,Outer Regional Australia,Capital Region,Snowy Monaro Regional,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20211040,NSW,12,2021,Wednesday,05:42:00,Multiple,No,No,No,70,Motorcycle rider,Male,17,Major Cities of Australia,Illawarra,Shellharbour,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20211003,NSW,12,2021,Thursday,10:20:00,Multiple,No,Yes,No,60,Driver,Male,18,Major Cities of Australia,Sydney - South West,Liverpool,Collector Road,Yes,No,17_to_25,Weekday,Day,1,No,Day
20211260,NSW,12,2021,Wednesday,13:50:00,Multiple,No,No,No,80,Motorcycle rider,Male,18,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20211219,NSW,12,2021,Tuesday,01:00:00,Single,No,No,No,100,Driver,Male,16,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,0_to_16,Weekday,Night,1,No,Night
20211185,NSW,11,2021,Wednesday,06:15:00,Multiple,No,No,Yes,100,Driver,Male,18,Outer Regional Australia,Central West,Forbes,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20211214,NSW,10,2021,Monday,01:00:00,Single,No,No,No,100,Motorcycle pillion passenger,Female,17,Outer Regional Australia,Far West and Orana,Narromine,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20211204,NSW,10,2021,Friday,23:30:00,Single,No,No,No,60,Motorcycle rider,Male,18,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Collector Road,No,No,17_to_25,Weekend,Night,1,No,Night
